# SPDX-License-Identifier: CC0-1.0
# Generator: x86-cpuid-db v2.4

#
# Auto-generated file.
# Please submit all updates and bugfixes to https://x86-cpuid.org
#

# The basic row format is:
#     LEAF, SUBLEAVES,  reg,    bits,    short_name             , long_description

# Leaf 0H
# Maximum standard leaf number + CPU vendor string

       0x0,         0,  eax,    31:0,    max_std_leaf           , Highest standard CPUID leaf supported
       0x1,         0,  ecx,       9,    ssse3                  , Supplemental SSE3
       0x1,         0,  ecx,      10,    cid                    , L1 Context ID
       0x1,         0,  ecx,      11,    sdbg                   , Silicon Debug
       0x1,         0,  ecx,      12,    fma                    , FMA extensions using YMM state
       0x1,         0,  ecx,      13,    cx16                   , CMPXCHG16B instruction support
       0x1,         0,  ecx,      14,    xtpr                   , xTPR Update Control
       0x1,         0,  ecx,      15,    pdcm                   , Perfmon and Debug Capability
       0x1,         0,  ecx,      17,    pcid                   , Process-context identifiers
       0x1,         0,  ecx,      18,    dca                    , Direct Cache Access
       0x1,         0,  ecx,      19,    sse4_1                 , SSE4.1
       0x1,         0,  ecx,      20,    sse4_2                 , SSE4.2
       0x1,         0,  ecx,      21,    x2apic                 , X2APIC support
       0x1,         0,  ecx,      22,    movbe                  , MOVBE instruction support
       0x1,         0,  ecx,      23,    popcnt                 , POPCNT instruction support
       0x1,         0,  ecx,      24,    tsc_deadline_timer     , APIC timer one-shot operation
       0x1,         0,  ecx,      25,    aes                    , AES instructions
       0x1,         0,  ecx,      26,    xsave                  , XSAVE (and related instructions) support
       0x1,         0,  ecx,      27,    osxsave                , XSAVE (and related instructions) are enabled by OS
       0x1,         0,  ecx,      28,    avx                    , AVX instructions support
       0x1,         0,  ecx,      29,    f16c                   , Half-precision floating-point conversion support
       0x1,         0,  ecx,      30,    rdrand                 , RDRAND instruction support
       0x1,         0,  ecx,      31,    guest_status           , System is running as guest; (para-)virtualized system
       0x1,         0,  edx,       0,    fpu                    , Floating-Point Unit on-chip (x87)
       0x1,         0,  edx,       1,    vme                    , Virtual-8086 Mode Extensions
       0x1,         0,  edx,       2,    de                     , Debugging Extensions
       0x1,         0,  edx,       3,    pse                    , Page Size Extension
       0x1,         0,  edx,       4,    tsc                    , Time Stamp Counter
       0x1,         0,  edx,       5,    msr                    , Model-Specific Registers (RDMSR and WRMSR support)
       0x1,         0,  edx,       6,    pae                    , Physical Address Extensions
       0x1,         0,  edx,       7,    mce                    , Machine Check Exception
       0x1,         0,  edx,       8,    cx8                    , CMPXCHG8B instruction
       0x1,         0,  edx,       9,    apic                   , APIC on-chip
       0x1,         0,  edx,      11,    sep                    , SYSENTER, SYSEXIT, and associated MSRs
       0x1,         0,  edx,      12,    mtrr                   , Memory Type Range Registers
       0x1,         0,  edx,      13,    pge                    , Page Global Extensions
       0x1,         0,  edx,      14,    mca                    , Machine Check Architecture
       0x1,         0,  edx,      15,    cmov                   , Conditional Move Instruction
       0x1,         0,  edx,      16,    pat                    , Page Attribute Table
       0x1,         0,  edx,      17,    pse36                  , Page Size Extension (36-bit)
       0x1,         0,  edx,      18,    pn                     , Processor Serial Number
       0x1,         0,  edx,      19,    clflush                , CLFLUSH instruction
       0x1,         0,  edx,      21,    dts                    , Debug Store
       0x1,         0,  edx,      22,    acpi                   , Thermal monitor and clock control
       0x1,         0,  edx,      23,    mmx                    , MMX instructions
       0x1,         0,  edx,      24,    fxsr                   , FXSAVE and FXRSTOR instructions
       0x1,         0,  edx,      25,    sse                    , SSE instructions
       0x1,         0,  edx,      26,    sse2                   , SSE2 instructions
       0x1,         0,  edx,      27,    ss                     , Self Snoop
       0x1,         0,  edx,      28,    ht                     , Hyper-threading
       0x1,         0,  edx,      29,    tm                     , Thermal Monitor
       0x1,         0,  edx,      30,    ia64                   , Legacy IA-64 (Itanium) support bit, now reserved
       0x1,         0,  edx,      31,    pbe                    , Pending Break Enable

# Leaf 2H
# Intel cache and TLB information one-byte descriptors

       0x2,         0,  eax,     7:0,    iteration_count        , Number of times this leaf must be queried
       0x2,         0,  eax,    15:8,    desc1                  , Descriptor #1
       0x2,         0,  eax,   23:16,    desc2                  , Descriptor #2
       0x2,         0,  eax,   30:24,    desc3                  , Descriptor #3
       0x2,         0,  eax,      31,    eax_invalid            , Descriptors 1-3 are invalid if set
       0x2,         0,  ebx,     7:0,    desc4                  , Descriptor #4
       0x2,         0,  ebx,    15:8,    desc5                  , Descriptor #5
       0x2,         0,  ebx,   23:16,    desc6                  , Descriptor #6
       0x2,         0,  ebx,   30:24,    desc7                  , Descriptor #7
       0x2,         0,  ebx,      31,    ebx_invalid            , Descriptors 4-7 are invalid if set
       0x2,         0,  ecx,     7:0,    desc8                  , Descriptor #8
       0x2,         0,  ecx,    15:8,    desc9                  , Descriptor #9
       0x2,         0,  ecx,   23:16,    desc10                 , Descriptor #10
       0x2,         0,  ecx,   30:24,    desc11                 , Descriptor #11
       0x2,         0,  ecx,      31,    ecx_invalid            , Descriptors 8-11 are invalid if set
       0x2,         0,  edx,     7:0,    desc12                 , Descriptor #12
       0x2,         0,  edx,    15:8,    desc13                 , Descriptor #13
       0x2,         0,  edx,   23:16,    desc14                 , Descriptor #14
       0x2,         0,  edx,   30:24,    desc15                 , Descriptor #15
       0x2,         0,  edx,      31,    edx_invalid            , Descriptors 12-15 are invalid if set

# Leaf 4H
# Intel deterministic cache parameters

       0x4,      31:0,  eax,     4:0,    cache_type             , Cache type field
       0x4,      31:0,  eax,     7:5,    cache_level            , Cache level (1-based)
       0x4,      31:0,  eax,       8,    cache_self_init        , Self-initializing cache level
       0x4,      31:0,  eax,       9,    fully_associative      , Fully-associative cache
       0x4,      31:0,  eax,   25:14,    num_threads_sharing    , Number logical CPUs sharing this cache
       0x4,      31:0,  eax,   31:26,    num_cores_on_die       , Number of cores in the physical package
       0x4,      31:0,  ebx,    11:0,    cache_linesize         , System coherency line size (0-based)
       0x4,      31:0,  ebx,   21:12,    cache_npartitions      , Physical line partitions (0-based)
       0x4,      31:0,  ebx,   31:22,    cache_nways            , Ways of associativity (0-based)
       0x4,      31:0,  ecx,    30:0,    cache_nsets            , Cache number of sets (0-based)
       0x4,      31:0,  edx,       0,    wbinvd_rll_no_guarantee, WBINVD/INVD not guaranteed for Remote Lower-Level caches
       0x4,      31:0,  edx,       1,    ll_inclusive           , Cache is inclusive of Lower-Level caches
       0x4,      31:0,  edx,       2,    complex_indexing       , Not a direct-mapped cache (complex function)

# Leaf 5H
# MONITOR/MWAIT instructions enumeration

       0x5,         0,  eax,    15:0,    min_mon_size           , Smallest monitor-line size, in bytes
       0x5,         0,  ebx,    15:0,    max_mon_size           , Largest monitor-line size, in bytes
       0x5,         0,  ecx,       0,    mwait_ext              , Enumeration of MONITOR/MWAIT extensions is supported
       0x5,         0,  ecx,       1,    mwait_irq_break        , Interrupts as a break-event for MWAIT is supported
       0x5,         0,  edx,     3:0,    n_c0_substates         , Number of C0 sub C-states supported using MWAIT
       0x5,         0,  edx,     7:4,    n_c1_substates         , Number of C1 sub C-states supported using MWAIT
       0x5,         0,  edx,    11:8,    n_c2_substates         , Number of C2 sub C-states supported using MWAIT
       0x5,         0,  edx,   15:12,    n_c3_substates         , Number of C3 sub C-states supported using MWAIT
       0x5,         0,  edx,   19:16,    n_c4_substates         , Number of C4 sub C-states supported using MWAIT
       0x5,         0,  edx,   23:20,    n_c5_substates         , Number of C5 sub C-states supported using MWAIT
       0x5,         0,  edx,   27:24,    n_c6_substates         , Number of C6 sub C-states supported using MWAIT
       0x5,         0,  edx,   31:28,    n_c7_substates         , Number of C7 sub C-states supported using MWAIT

# Leaf 6H
# Thermal and Power Management enumeration

       0x6,         0,  eax,       0,    dtherm                 , Digital temperature sensor
       0x6,         0,  eax,       1,    turbo_boost            , Intel Turbo Boost
       0x6,         0,  eax,       2,    arat                   , Always-Running APIC Timer (not affected by p-state)
       0x6,         0,  eax,       4,    pln                    , Power Limit Notification (PLN) event
       0x6,         0,  eax,       5,    ecmd                   , Clock modulation duty cycle extension
       0x6,         0,  eax,       6,    pts                    , Package thermal management
       0x6,         0,  eax,       7,    hwp                    , HWP (Hardware P-states) base registers are supported
       0x6,         0,  eax,       8,    hwp_notify             , HWP notification (IA32_HWP_INTERRUPT MSR)
       0x6,         0,  eax,       9,    hwp_act_window         , HWP activity window (IA32_HWP_REQUEST[bits 41:32]) supported
       0x6,         0,  eax,      10,    hwp_epp                , HWP Energy Performance Preference
       0x6,         0,  eax,      11,    hwp_pkg_req            , HWP Package Level Request
       0x6,         0,  eax,      13,    hdc_base_regs          , HDC base registers are supported
       0x6,         0,  eax,      14,    turbo_boost_3_0        , Intel Turbo Boost Max 3.0
       0x6,         0,  eax,      15,    hwp_capabilities       , HWP Highest Performance change
       0x6,         0,  eax,      16,    hwp_peci_override      , HWP PECI override
       0x6,         0,  eax,      17,    hwp_flexible           , Flexible HWP
       0x6,         0,  eax,      18,    hwp_fast               , IA32_HWP_REQUEST MSR fast access mode
       0x6,         0,  eax,      19,    hfi                    , HW_FEEDBACK MSRs supported
       0x6,         0,  eax,      20,    hwp_ignore_idle        , Ignoring idle logical CPU HWP req is supported
       0x6,         0,  eax,      23,    thread_director        , Intel thread director support
       0x6,         0,  eax,      24,    therm_interrupt_bit25  , IA32_THERM_INTERRUPT MSR bit 25 is supported
       0x6,         0,  ebx,     3:0,    n_therm_thresholds     , Digital thermometer thresholds
       0x6,         0,  ecx,       0,    aperfmperf             , MPERF/APERF MSRs (effective frequency interface)
       0x6,         0,  ecx,       3,    epb                    , IA32_ENERGY_PERF_BIAS MSR support
       0x6,         0,  ecx,    15:8,    thrd_director_nclasses , Number of classes, Intel thread director
       0x6,         0,  edx,       0,    perfcap_reporting      , Performance capability reporting
       0x6,         0,  edx,       1,    encap_reporting        , Energy efficiency capability reporting
       0x6,         0,  edx,    11:8,    feedback_sz            , Feedback interface structure size, in 4K pages
       0x6,         0,  edx,   31:16,    this_lcpu_hwfdbk_idx   , This logical CPU hardware feedback interface index

# Leaf 7H
# Extended CPU features enumeration

       0x7,         0,  eax,    31:0,    leaf7_n_subleaves      , Number of leaf 0x7 subleaves
       0x7,         0,  ebx,       0,    fsgsbase               , FSBASE/GSBASE read/write support
       0x7,         0,  ebx,       1,    tsc_adjust             , IA32_TSC_ADJUST MSR supported
       0x7,         0,  ebx,       2,    sgx                    , Intel SGX (Software Guard Extensions)
       0x7,         0,  ebx,       3,    bmi1                   , Bit manipulation extensions group 1
       0x7,         0,  ebx,       4,    hle                    , Hardware Lock Elision
       0x7,         0,  ebx,       5,    avx2                   , AVX2 instruction set
       0x7,         0,  ebx,       6,    fdp_excptn_only        , FPU Data Pointer updated only on x87 exceptions
       0x7,         0,  ebx,       7,    smep                   , Supervisor Mode Execution Protection
       0x7,         0,  ebx,       8,    bmi2                   , Bit manipulation extensions group 2
       0x7,         0,  ebx,       9,    erms                   , Enhanced REP MOVSB/STOSB
       0x7,         0,  ebx,      10,    invpcid                , INVPCID instruction (Invalidate Processor Context ID)
       0x7,         0,  ebx,      11,    rtm                    , Intel restricted transactional memory
       0x7,         0,  ebx,      12,    cqm                    , Intel RDT-CMT / AMD Platform-QoS cache monitoring
       0x7,         0,  ebx,      13,    zero_fcs_fds           , Deprecated FPU CS/DS (stored as zero)
       0x7,         0,  ebx,      14,    mpx                    , Intel memory protection extensions
       0x7,         0,  ebx,      15,    rdt_a                  , Intel RDT / AMD Platform-QoS Enforcement
       0x7,         0,  ebx,      16,    avx512f                , AVX-512 foundation instructions
       0x7,         0,  ebx,      17,    avx512dq               , AVX-512 double/quadword instructions
       0x7,         0,  ebx,      18,    rdseed                 , RDSEED instruction
       0x7,         0,  ebx,      19,    adx                    , ADCX/ADOX instructions
       0x7,         0,  ebx,      20,    smap                   , Supervisor mode access prevention
       0x7,         0,  ebx,      21,    avx512ifma             , AVX-512 integer fused multiply add
       0x7,         0,  ebx,      23,    clflushopt             , CLFLUSHOPT instruction
       0x7,         0,  ebx,      24,    clwb                   , CLWB instruction
       0x7,         0,  ebx,      25,    intel_pt               , Intel processor trace
       0x7,         0,  ebx,      26,    avx512pf               , AVX-512 prefetch instructions
       0x7,         0,  ebx,      27,    avx512er               , AVX-512 exponent/reciprocal instructions
       0x7,         0,  ebx,      28,    avx512cd               , AVX-512 conflict detection instructions
       0x7,         0,  ebx,      29,    sha_ni                 , SHA/SHA256 instructions
       0x7,         0,  ebx,      30,    avx512bw               , AVX-512 byte/word instructions
       0x7,         0,  ebx,      31,    avx512vl               , AVX-512 VL (128/256 vector length) extensions
       0x7,         0,  ecx,       0,    prefetchwt1            , PREFETCHWT1 (Intel Xeon Phi only)
       0x7,         0,  ecx,       1,    avx512vbmi             , AVX-512 Vector byte manipulation instructions
       0x7,         0,  ecx,       2,    umip                   , User mode instruction protection
       0x7,         0,  ecx,       3,    pku                    , Protection keys for user-space
       0x7,         0,  ecx,       4,    ospke                  , OS protection keys enable
       0x7,         0,  ecx,       5,    waitpkg                , WAITPKG instructions
       0x7,         0,  ecx,       6,    avx512_vbmi2           , AVX-512 vector byte manipulation instructions group 2
       0x7,         0,  ecx,       7,    cet_ss                 , CET shadow stack features
       0x7,         0,  ecx,       8,    gfni                   , Galois field new instructions
       0x7,         0,  ecx,       9,    vaes                   , Vector AES instructions
       0x7,         0,  ecx,      10,    vpclmulqdq             , VPCLMULQDQ 256-bit instruction support
       0x7,         0,  ecx,      11,    avx512_vnni            , Vector neural network instructions
       0x7,         0,  ecx,      12,    avx512_bitalg          , AVX-512 bitwise algorithms
       0x7,         0,  ecx,      13,    tme                    , Intel total memory encryption
       0x7,         0,  ecx,      14,    avx512_vpopcntdq       , AVX-512: POPCNT for vectors of DWORD/QWORD
       0x7,         0,  ecx,      16,    la57                   , 57-bit linear addresses (five-level paging)
       0x7,         0,  ecx,   21:17,    mawau_val_lm           , BNDLDX/BNDSTX MAWAU value in 64-bit mode
       0x7,         0,  ecx,      22,    rdpid                  , RDPID instruction
       0x7,         0,  ecx,      23,    key_locker             , Intel key locker support
       0x7,         0,  ecx,      24,    bus_lock_detect        , OS bus-lock detection
       0x7,         0,  ecx,      25,    cldemote               , CLDEMOTE instruction
       0x7,         0,  ecx,      27,    movdiri                , MOVDIRI instruction
       0x7,         0,  ecx,      28,    movdir64b              , MOVDIR64B instruction
       0x7,         0,  ecx,      29,    enqcmd                 , Enqueue stores supported (ENQCMD{,S})
       0x7,         0,  ecx,      30,    sgx_lc                 , Intel SGX launch configuration
       0x7,         0,  ecx,      31,    pks                    , Protection keys for supervisor-mode pages
       0x7,         0,  edx,       1,    sgx_keys               , Intel SGX attestation services
       0x7,         0,  edx,       2,    avx512_4vnniw          , AVX-512 neural network instructions
       0x7,         0,  edx,       3,    avx512_4fmaps          , AVX-512 multiply accumulation single precision
       0x7,         0,  edx,       4,    fsrm                   , Fast short REP MOV
       0x7,         0,  edx,       5,    uintr                  , CPU supports user interrupts
       0x7,         0,  edx,       8,    avx512_vp2intersect    , VP2INTERSECT{D,Q} instructions
       0x7,         0,  edx,       9,    srdbs_ctrl             , SRBDS mitigation MSR available
       0x7,         0,  edx,      10,    md_clear               , VERW MD_CLEAR microcode support
       0x7,         0,  edx,      11,    rtm_always_abort       , XBEGIN (RTM transaction) always aborts
       0x7,         0,  edx,      13,    tsx_force_abort        , MSR TSX_FORCE_ABORT, RTM_ABORT bit, supported
       0x7,         0,  edx,      14,    serialize              , SERIALIZE instruction
       0x7,         0,  edx,      15,    hybrid_cpu             , The CPU is identified as a 'hybrid part'
       0x7,         0,  edx,      16,    tsxldtrk               , TSX suspend/resume load address tracking
       0x7,         0,  edx,      18,    pconfig                , PCONFIG instruction
       0x7,         0,  edx,      19,    arch_lbr               , Intel architectural LBRs
       0x7,         0,  edx,      20,    ibt                    , CET indirect branch tracking
       0x7,         0,  edx,      22,    amx_bf16               , AMX-BF16: tile bfloat16 support
       0x7,         0,  edx,      23,    avx512_fp16            , AVX-512 FP16 instructions
       0x7,         0,  edx,      24,    amx_tile               , AMX-TILE: tile architecture support
       0x7,         0,  edx,      25,    amx_int8               , AMX-INT8: tile 8-bit integer support
       0x7,         0,  edx,      26,    spec_ctrl              , Speculation Control (IBRS/IBPB: indirect branch restrictions)
       0x7,         0,  edx,      27,    intel_stibp            , Single thread indirect branch predictors
       0x7,         0,  edx,      28,    flush_l1d              , FLUSH L1D cache: IA32_FLUSH_CMD MSR
       0x7,         0,  edx,      29,    arch_capabilities      , Intel IA32_ARCH_CAPABILITIES MSR
       0x7,         0,  edx,      30,    core_capabilities      , IA32_CORE_CAPABILITIES MSR
       0x7,         0,  edx,      31,    spec_ctrl_ssbd         , Speculative store bypass disable
       0x7,         1,  eax,       4,    avx_vnni               , AVX-VNNI instructions
       0x7,         1,  eax,       5,    avx512_bf16            , AVX-512 bfloat16 instructions
       0x7,         1,  eax,       6,    lass                   , Linear address space separation
       0x7,         1,  eax,       7,    cmpccxadd              , CMPccXADD instructions
       0x7,         1,  eax,       8,    arch_perfmon_ext       , ArchPerfmonExt: leaf 0x23 is supported
       0x7,         1,  eax,      10,    fzrm                   , Fast zero-length REP MOVSB
       0x7,         1,  eax,      11,    fsrs                   , Fast short REP STOSB
       0x7,         1,  eax,      12,    fsrc                   , Fast Short REP CMPSB/SCASB
       0x7,         1,  eax,      17,    fred                   , FRED: Flexible return and event delivery transitions
       0x7,         1,  eax,      18,    lkgs                   , LKGS: Load 'kernel' (userspace) GS
       0x7,         1,  eax,      19,    wrmsrns                , WRMSRNS instruction (WRMSR-non-serializing)
       0x7,         1,  eax,      20,    nmi_src                , NMI-source reporting with FRED event data
       0x7,         1,  eax,      21,    amx_fp16               , AMX-FP16: FP16 tile operations
       0x7,         1,  eax,      22,    hreset                 , History reset support
       0x7,         1,  eax,      23,    avx_ifma               , Integer fused multiply add
       0x7,         1,  eax,      26,    lam                    , Linear address masking
       0x7,         1,  eax,      27,    rd_wr_msrlist          , RDMSRLIST/WRMSRLIST instructions
       0x7,         1,  ebx,       0,    intel_ppin             , Protected processor inventory number (PPIN{,_CTL} MSRs)
       0x7,         1,  edx,       4,    avx_vnni_int8          , AVX-VNNI-INT8 instructions
       0x7,         1,  edx,       5,    avx_ne_convert         , AVX-NE-CONVERT instructions
       0x7,         1,  edx,       8,    amx_complex            , AMX-COMPLEX instructions (starting from Granite Rapids)
       0x7,         1,  edx,      14,    prefetchit_0_1         , PREFETCHIT0/1 instructions
       0x7,         1,  edx,      18,    cet_sss                , CET supervisor shadow stacks safe to use
       0x7,         2,  edx,       0,    intel_psfd             , Intel predictive store forward disable
       0x7,         2,  edx,       1,    ipred_ctrl             , MSR bits IA32_SPEC_CTRL.IPRED_DIS_{U,S}
       0x7,         2,  edx,       2,    rrsba_ctrl             , MSR bits IA32_SPEC_CTRL.RRSBA_DIS_{U,S}
       0x7,         2,  edx,       3,    ddp_ctrl               , MSR bit  IA32_SPEC_CTRL.DDPD_U
       0x7,         2,  edx,       4,    bhi_ctrl               , MSR bit  IA32_SPEC_CTRL.BHI_DIS_S
       0x7,         2,  edx,       5,    mcdt_no                , MCDT mitigation not needed
       0x7,         2,  edx,       6,    uclock_disable         , UC-lock disable is supported

# Leaf 9H
# Intel DCA (Direct Cache Access) enumeration

       0x9,         0,  eax,       0,    dca_enabled_in_bios    , DCA is enabled in BIOS

# Leaf AH
# Intel PMU (Performance Monitoring Unit) enumeration

       0xa,         0,  eax,     7:0,    pmu_version            , Performance monitoring unit version ID
       0xa,         0,  eax,    15:8,    pmu_n_gcounters        , Number of general PMU counters per logical CPU
       0xa,         0,  eax,   23:16,    pmu_gcounters_nbits    , Bitwidth of PMU general counters
       0xa,         0,  eax,   31:24,    pmu_cpuid_ebx_bits     , Length of leaf 0xa EBX bit vector
       0xa,         0,  ebx,       0,    no_core_cycle_evt      , Core cycle event not available
       0xa,         0,  ebx,       1,    no_insn_retired_evt    , Instruction retired event not available
       0xa,         0,  ebx,       2,    no_refcycle_evt        , Reference cycles event not available
       0xa,         0,  ebx,       3,    no_llc_ref_evt         , LLC-reference event not available
       0xa,         0,  ebx,       4,    no_llc_miss_evt        , LLC-misses event not available
       0xa,         0,  ebx,       5,    no_br_insn_ret_evt     , Branch instruction retired event not available
       0xa,         0,  ebx,       6,    no_br_mispredict_evt   , Branch mispredict retired event not available
       0xa,         0,  ebx,       7,    no_td_slots_evt        , Topdown slots event not available
       0xa,         0,  ecx,    31:0,    pmu_fcounters_bitmap   , Fixed-function PMU counters support bitmap
       0xa,         0,  edx,     4:0,    pmu_n_fcounters        , Number of fixed PMU counters
       0xa,         0,  edx,    12:5,    pmu_fcounters_nbits    , Bitwidth of PMU fixed counters
       0xa,         0,  edx,      15,    anythread_depr         , AnyThread deprecation

# Leaf BH
# CPUs v1 extended topology enumeration

       0xb,       1:0,  eax,     4:0,    x2apic_id_shift        , Bit width of this level (previous levels inclusive)
       0xb,       1:0,  ebx,    15:0,    domain_lcpus_count     , Logical CPUs count across all instances of this domain
       0xb,       1:0,  ecx,     7:0,    domain_nr              , This domain level (subleaf ID)
       0xb,       1:0,  ecx,    15:8,    domain_type            , This domain type
       0xb,       1:0,  edx,    31:0,    x2apic_id              , x2APIC ID of current logical CPU

# Leaf DH
# Processor extended state enumeration

       0xd,         0,  eax,       0,    xcr0_x87               , XCR0.X87 (bit 0) supported
       0xd,         0,  eax,       1,    xcr0_sse               , XCR0.SEE (bit 1) supported
       0xd,         0,  eax,       2,    xcr0_avx               , XCR0.AVX (bit 2) supported
       0xd,         0,  eax,       3,    xcr0_mpx_bndregs       , XCR0.BNDREGS (bit 3) supported (MPX BND0-BND3 registers)
       0xd,         0,  eax,       4,    xcr0_mpx_bndcsr        , XCR0.BNDCSR (bit 4) supported (MPX BNDCFGU/BNDSTATUS registers)
       0xd,         0,  eax,       5,    xcr0_avx512_opmask     , XCR0.OPMASK (bit 5) supported (AVX-512 k0-k7 registers)
       0xd,         0,  eax,       6,    xcr0_avx512_zmm_hi256  , XCR0.ZMM_Hi256 (bit 6) supported (AVX-512 ZMM0->ZMM7/15 registers)
       0xd,         0,  eax,       7,    xcr0_avx512_hi16_zmm   , XCR0.HI16_ZMM (bit 7) supported (AVX-512 ZMM16->ZMM31 registers)
       0xd,         0,  eax,       9,    xcr0_pkru              , XCR0.PKRU (bit 9) supported (XSAVE PKRU registers)
       0xd,         0,  eax,      11,    xcr0_cet_u             , XCR0.CET_U (bit 11) supported (CET user state)
       0xd,         0,  eax,      12,    xcr0_cet_s             , XCR0.CET_S (bit 12) supported (CET supervisor state)
       0xd,         0,  eax,      17,    xcr0_tileconfig        , XCR0.TILECONFIG (bit 17) supported (AMX can manage TILECONFIG)
       0xd,         0,  eax,      18,    xcr0_tiledata          , XCR0.TILEDATA (bit 18) supported (AMX can manage TILEDATA)
       0xd,         0,  ebx,    31:0,    xsave_sz_xcr0_enabled  , XSAVE/XRSTOR area byte size, for XCR0 enabled features
       0xd,         0,  ecx,    31:0,    xsave_sz_max           , XSAVE/XRSTOR area max byte size, all CPU features
       0xd,         0,  edx,      30,    xcr0_lwp               , AMD XCR0.LWP (bit 62) supported (Light-weight Profiling)
       0xd,         1,  eax,       0,    xsaveopt               , XSAVEOPT instruction
       0xd,         1,  eax,       1,    xsavec                 , XSAVEC instruction
       0xd,         1,  eax,       2,    xgetbv1                , XGETBV instruction with ECX = 1
       0xd,         1,  eax,       3,    xsaves                 , XSAVES/XRSTORS instructions (and XSS MSR)
       0xd,         1,  eax,       4,    xfd                    , Extended feature disable support
       0xd,         1,  ebx,    31:0,    xsave_sz_xcr0_xmms_enabled, XSAVE area size, all XCR0 and XMMS features enabled
       0xd,         1,  ecx,       8,    xss_pt                 , PT state, supported
       0xd,         1,  ecx,      10,    xss_pasid              , PASID state, supported
       0xd,         1,  ecx,      11,    xss_cet_u              , CET user state, supported
       0xd,         1,  ecx,      12,    xss_cet_p              , CET supervisor state, supported
       0xd,         1,  ecx,      13,    xss_hdc                , HDC state, supported
       0xd,         1,  ecx,      14,    xss_uintr              , UINTR state, supported
       0xd,         1,  ecx,      15,    xss_lbr                , LBR state, supported
       0xd,         1,  ecx,      16,    xss_hwp                , HWP state, supported
       0xd,      63:2,  eax,    31:0,    xsave_sz               , Size of save area for subleaf-N feature, in bytes
       0xd,      63:2,  ebx,    31:0,    xsave_offset           , Offset of save area for subleaf-N feature, in bytes
       0xd,      63:2,  ecx,       0,    is_xss_bit             , Subleaf N describes an XSS bit, otherwise XCR0 bit
       0xd,      63:2,  ecx,       1,    compacted_xsave_64byte_aligned, When compacted, subleaf-N feature XSAVE area is 64-byte aligned

# Leaf FH
# Intel RDT / AMD PQoS resource monitoring

       0xf,         0,  ebx,    31:0,    core_rmid_max          , RMID max, within this core, all types (0-based)
       0xf,         0,  edx,       1,    cqm_llc                , LLC QoS-monitoring supported
       0xf,         1,  eax,     7:0,    l3c_qm_bitwidth        , L3 QoS-monitoring counter bitwidth (24-based)
       0xf,         1,  eax,       8,    l3c_qm_overflow_bit    , QM_CTR MSR bit 61 is an overflow bit
       0xf,         1,  ebx,    31:0,    l3c_qm_conver_factor   , QM_CTR MSR conversion factor to bytes
       0xf,         1,  ecx,    31:0,    l3c_qm_rmid_max        , L3 QoS-monitoring max RMID
       0xf,         1,  edx,       0,    cqm_occup_llc          , L3 QoS occupancy monitoring supported
       0xf,         1,  edx,       1,    cqm_mbm_total          , L3 QoS total bandwidth monitoring supported
       0xf,         1,  edx,       2,    cqm_mbm_local          , L3 QoS local bandwidth monitoring supported

# Leaf 10H
# Intel RDT / AMD PQoS allocation enumeration

      0x10,         0,  ebx,       1,    cat_l3                 , L3 Cache Allocation Technology supported
