#
# $FreeBSD$
#
#	Name:             BIG5 to Unicode table (complete)
#	Unicode version:  1.1
#	Table version:    0.0d3
#	Table format:     Format A
#	Date:             11 February 1994
#
#	Copyright (c) 1991-1994 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on magnetic media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Recipient is granted the right to make copies in any form for
#	internal distribution and to freely use the information supplied
#	in the creation of products supporting Unicode.  Unicode, Inc.
#	specifically excludes the right to re-distribute this file directly
#	to third parties or other organizations whether for profit or not.
#
#	General notes:
#
#
# This table contains one set of mappings from BIG5 into Unicode.
# Note that these data are *possible* mappings only and may not be the
# same as those used by actual products, nor may they be the best suited
# for all uses.  For more information on the mappings between various code
# pages incorporating the repertoire of BIG5 and Unicode, consult the
# VENDORS mapping data.  Normative information on the mapping between
# BIG5 and Unicode may be found in the Unihan.txt file in the
# latest Unicode Character Database.
#
# If you have carefully considered the fact that the mappings in
# this table are only one possible set of mappings between BIG5 and
# Unicode and have no normative status, but still feel that you
# have located an error in the table that requires fixing, you may
# report any such error to errata@unicode.org.
#
#	WARNING!  It is currently impossible to provide round-trip compatibility
#		between BIG5 and Unicode.  
#
#	A number of characters are not currently mapped because
#		of conflicts with other mappings.  They are as follows:
#
#       BIG5        Description                    Comments
#
#       0xA15A      SPACING UNDERSCORE             duplicates A1C4
#       0xA1C3      SPACING HEAVY OVERSCORE        not in Unicode
#       0xA1C5      SPACING HEAVY UNDERSCORE       not in Unicode
#       0xA1FE      LT DIAG UP RIGHT TO LOW LEFT   duplicates A2AC
#       0xA240      LT DIAG UP LEFT TO LOW RIGHT   duplicates A2AD
#       0xA2CC      HANGZHOU NUMERAL TEN           conflicts with A451 mapping
#       0xA2CE      HANGZHOU NUMERAL THIRTY        conflicts with A4CA mapping
#
#	We currently map all of these characters to U+FFFD REPLACEMENT CHARACTER.
#		It is also possible to map these characters to their duplicates, or to
#		the user zone.  
#	
#	Notes:
#
#	1. In addition to the above, there is some uncertainty about the
#       mappings in the range C6A1 - C8FE, and F9DD - F9FE.  The ETEN
#	version of BIG5 organizes the former range differently, and adds
#	additional characters in the latter range.  The correct mappings
#	these ranges need to be determined.
#
#	2.  There is an uncertainty in the mapping of the Big Five character
#	0xA3BC.  This character occurs within the Big Five block of tone marks
#	for bopomofo and is intended to be the tone mark for the first tone in
#	Mandarin Chinese.  We have selected the mapping U+02C9 MODIFIER LETTER
#	MACRON (Mandarin Chinese first tone) to reflect this semantic.  
#	However, because bopomofo uses the absense of a tone mark to indicate
#	the first Mandarin tone, most implementations of Big Five represent
#	this character with a blank space, and so a mapping such as U+2003 EM
#	SPACE might be preferred.  
#
#	Format:  Three tab-separated columns
#		 Column #1 is the BIG5 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3  is the Unicode name (follows a comment sign, '#')
#			The official names for Unicode characters U+4E00
#			to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#			where XXXX is the code point.  Including all these
#			names in this file increases its size substantially
#			and needlessly.  The token "<CJK>" is used for the
#			name of these characters.  If necessary, it can be
#			expanded algorithmically by a parser or editor.
#
#	The entries are in BIG5 order
#
#
0xA140	0x3000	# IDEOGRAPHIC SPACE
0xA255	0x338E	# SQUARE MG
0xA256	0x338F	# SQUARE KG
0xA257	0x33C4	# SQUARE CC
0xA258	0x00B0	# DEGREE SIGN
0xA259	0x5159	# <CJK>
0xA25A	0x515B	# <CJK>
0xA25B	0x515E	# <CJK>
0xA25C	0x515D	# <CJK>
0xA25D	0x5161	# <CJK>
0xA25E	0x5163	# <CJK>
0xA25F	0x55E7	# <CJK>
0xA260	0x74E9	# <CJK>
0xA261	0x7CCE	# <CJK>
0xA262	0x2581	# LOWER ONE EIGHTH BLOCK
0xA263	0x2582	# LOWER ONE QUARTER BLOCK
0xA264	0x2583	# LOWER THREE EIGHTHS BLOCK
0xA265	0x2584	# LOWER HALF BLOCK
0xA266	0x2585	# LOWER FIVE EIGHTHS BLOCK
0xA267	0x2586	# LOWER THREE QUARTERS BLOCK
0xA268	0x2587	# LOWER SEVEN EIGHTHS BLOCK
0xA269	0x2588	# FULL BLOCK
0xA26A	0x258F	# LEFT ONE EIGHTH BLOCK
0xA26B	0x258E	# LEFT ONE QUARTER BLOCK
0xA26C	0x258D	# LEFT THREE EIGHTHS BLOCK
0xA26D	0x258C	# LEFT HALF BLOCK
0xA26E	0x258B	# LEFT FIVE EIGHTHS BLOCK
0xA26F	0x258A	# LEFT THREE QUARTERS BLOCK
0xA270	0x2589	# LEFT SEVEN EIGHTHS BLOCK
0xA271	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xA272	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xA273	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xA274	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xA275	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xA276	0x2594	# UPPER ONE EIGHTH BLOCK
0xA277	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xA278	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xA279	0x2595	# RIGHT ONE EIGHTH BLOCK
0xA27A	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xA27B	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xA27C	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xA27D	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xA27E	0x256D	# BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0xA2A1	0x256E	# BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0xA2A2	0x2570	# BOX DRAWINGS LIGHT ARC UP AND RIGHT
0xA2A3	0x256F	# BOX DRAWINGS LIGHT ARC UP AND LEFT
0xA2A4	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xA2A5	0x255E	# BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xA2A6	0x256A	# BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xA2A7	0x2561	# BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xA2A8	0x25E2	# BLACK LOWER RIGHT TRIANGLE
0xA2A9	0x25E3	# BLACK LOWER LEFT TRIANGLE
0xA2AA	0x25E5	# BLACK UPPER RIGHT TRIANGLE
0xA2AB	0x25E4	# BLACK UPPER LEFT TRIANGLE
0xA2AC	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0xA2AD	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0xA2AE	0x2573	# BOX DRAWINGS LIGHT DIAGONAL CROSS
0xA2AF	0xFF10	# FULLWIDTH DIGIT ZERO
0xA2B0	0xFF11	# FULLWIDTH DIGIT ONE
0xA2B1	0xFF12	# FULLWIDTH DIGIT TWO
0xA2B2	0xFF13	# FULLWIDTH DIGIT THREE
0xA2B3	0xFF14	# FULLWIDTH DIGIT FOUR
0xA2B4	0xFF15	# FULLWIDTH DIGIT FIVE
0xA2B5	0xFF16	# FULLWIDTH DIGIT SIX
0xA2B6	0xFF17	# FULLWIDTH DIGIT SEVEN
0xA2B7	0xFF18	# FULLWIDTH DIGIT EIGHT
0xA2B8	0xFF19	# FULLWIDTH DIGIT NINE
0xA2B9	0x2160	# ROMAN NUMERAL ONE
0xA2BA	0x2161	# ROMAN NUMERAL TWO
0xA2BB	0x2162	# ROMAN NUMERAL THREE
0xA2BC	0x2163	# ROMAN NUMERAL FOUR
0xA2BD	0x2164	# ROMAN NUMERAL FIVE
0xA2BE	0x2165	# ROMAN NUMERAL SIX
0xA2BF	0x2166	# ROMAN NUMERAL SEVEN
0xA2C0	0x2167	# ROMAN NUMERAL EIGHT
0xA2C1	0x2168	# ROMAN NUMERAL NINE
0xA2C2	0x2169	# ROMAN NUMERAL TEN
0xA2C3	0x3021	# HANGZHOU NUMERAL ONE
0xA2C4	0x3022	# HANGZHOU NUMERAL TWO
0xA2C5	0x3023	# HANGZHOU NUMERAL THREE
0xA2C6	0x3024	# HANGZHOU NUMERAL FOUR
0xA2C7	0x3025	# HANGZHOU NUMERAL FIVE
0xA2C8	0x3026	# HANGZHOU NUMERAL SIX
0xA2C9	0x3027	# HANGZHOU NUMERAL SEVEN
0xA2CA	0x3028	# HANGZHOU NUMERAL EIGHT
0xA2CB	0x3029	# HANGZHOU NUMERAL NINE
0xA2CC	0xFFFD	# *** NO MAPPING ***
0xA2CD	0x5344	# <CJK>
0xA2CE	0xFFFD	# *** NO MAPPING ***
0xA2CF	0xFF21	# FULLWIDTH LATIN CAPITAL LETTER A
0xA2D0	0xFF22	# FULLWIDTH LATIN CAPITAL LETTER B
0xA2D1	0xFF23	# FULLWIDTH LATIN CAPITAL LETTER C
0xA2D2	0xFF24	# FULLWIDTH LATIN CAPITAL LETTER D
0xA2D3	0xFF25	# FULLWIDTH LATIN CAPITAL LETTER E
0xA2D4	0xFF26	# FULLWIDTH LATIN CAPITAL LETTER F
0xA2D5	0xFF27	# FULLWIDTH LATIN CAPITAL LETTER G
0xA2D6	0xFF28	# FULLWIDTH LATIN CAPITAL LETTER H
0xA2D7	0xFF29	# FULLWIDTH LATIN CAPITAL LETTER I
0xA2D8	0xFF2A	# FULLWIDTH LATIN CAPITAL LETTER J
0xA2D9	0xFF2B	# FULLWIDTH LATIN CAPITAL LETTER K
0xA2DA	0xFF2C	# FULLWIDTH LATIN CAPITAL LETTER L
0xA2DB	0xFF2D	# FULLWIDTH LATIN CAPITAL LETTER M
0xA2DC	0xFF2E	# FULLWIDTH LATIN CAPITAL LETTER N
0xA2DD	0xFF2F	# FULLWIDTH LATIN CAPITAL LETTER O
0xA2DE	0xFF30	# FULLWIDTH LATIN CAPITAL LETTER P
0xA2DF	0xFF31	# FULLWIDTH LATIN CAPITAL LETTER Q
0xA2E0	0xFF32	# FULLWIDTH LATIN CAPITAL LETTER R
0xA2E1	0xFF33	# FULLWIDTH LATIN CAPITAL LETTER S
0xA2E2	0xFF34	# FULLWIDTH LATIN CAPITAL LETTER T
0xA2E3	0xFF35	# FULLWIDTH LATIN CAPITAL LETTER U
0xA2E4	0xFF36	# FULLWIDTH LATIN CAPITAL LETTER V
0xA2E5	0xFF37	# FULLWIDTH LATIN CAPITAL LETTER W
0xA2E6	0xFF38	# FULLWIDTH LATIN CAPITAL LETTER X
0xA2E7	0xFF39	# FULLWIDTH LATIN CAPITAL LETTER Y
0xA2E8	0xFF3A	# FULLWIDTH LATIN CAPITAL LETTER Z
0xA2E9	0xFF41	# FULLWIDTH LATIN SMALL LETTER A
0xA2EA	0xFF42	# FULLWIDTH LATIN SMALL LETTER B
0xA2EB	0xFF43	# FULLWIDTH LATIN SMALL LETTER C
0xA2EC	0xFF44	# FULLWIDTH LATIN SMALL LETTER D
0xA2ED	0xFF45	# FULLWIDTH LATIN SMALL LETTER E
0xA2EE	0xFF46	# FULLWIDTH LATIN SMALL LETTER F
0xA2EF	0xFF47	# FULLWIDTH LATIN SMALL LETTER G
0xA2F0	0xFF48	# FULLWIDTH LATIN SMALL LETTER H
0xA2F1	0xFF49	# FULLWIDTH LATIN SMALL LETTER I
0xA2F2	0xFF4A	# FULLWIDTH LATIN SMALL LETTER J
0xA2F3	0xFF4B	# FULLWIDTH LATIN SMALL LETTER K
0xA2F4	0xFF4C	# FULLWIDTH LATIN SMALL LETTER L
0xA2F5	0xFF4D	# FULLWIDTH LATIN SMALL LETTER M
0xA2F6	0xFF4E	# FULLWIDTH LATIN SMALL LETTER N
0xA2F7	0xFF4F	# FULLWIDTH LATIN SMALL LETTER O
0xA2F8	0xFF50	# FULLWIDTH LATIN SMALL LETTER P
0xA2F9	0xFF51	# FULLWIDTH LATIN SMALL LETTER Q
0xA2FA	0xFF52	# FULLWIDTH LATIN SMALL LETTER R
0xA2FB	0xFF53	# FULLWIDTH LATIN SMALL LETTER S
0xA2FC	0xFF54	# FULLWIDTH LATIN SMALL LETTER T
0xA2FD	0xFF55	# FULLWIDTH LATIN SMALL LETTER U
0xA2FE	0xFF56	# FULLWIDTH LATIN SMALL LETTER V
0xA340	0xFF57	# FULLWIDTH LATIN SMALL LETTER W
0xA341	0xFF58	# FULLWIDTH LATIN SMALL LETTER X
0xA342	0xFF59	# FULLWIDTH LATIN SMALL LETTER Y
0xA343	0xFF5A	# FULLWIDTH LATIN SMALL LETTER Z
0xA344	0x0391	# GREEK CAPITAL LETTER ALPHA
0xA345	0x0392	# GREEK CAPITAL LETTER BETA
0xA346	0x0393	# GREEK CAPITAL LETTER GAMMA
0xA347	0x0394	# GREEK CAPITAL LETTER DELTA
0xA348	0x0395	# GREEK CAPITAL LETTER EPSILON
0xA349	0x0396	# GREEK CAPITAL LETTER ZETA
0xA34A	0x0397	# GREEK CAPITAL LETTER ETA
0xA34B	0x0398	# GREEK CAPITAL LETTER THETA
0xA34C	0x0399	# GREEK CAPITAL LETTER IOTA
0xA34D	0x039A	# GREEK CAPITAL LETTER KAPPA
0xA34E	0x039B	# GREEK CAPITAL LETTER LAMDA
0xA34F	0x039C	# GREEK CAPITAL LETTER MU
0xA350	0x039D	# GREEK CAPITAL LETTER NU
0xA351	0x039E	# GREEK CAPITAL LETTER XI
0xA352	0x039F	# GREEK CAPITAL LETTER OMICRON
0xA353	0x03A0	# GREEK CAPITAL LETTER PI
0xA354	0x03A1	# GREEK CAPITAL LETTER RHO
0xA355	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xA356	0x03A4	# GREEK CAPITAL LETTER TAU
