#
# $FreeBSD$
#
#	Name:             eucCN-80 to Unicode table (complete, hex format)
#	Based on the GB2312.TXT
#
#	General notes:
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#
0xA1A1	0x3000	# IDEOGRAPHIC SPACE
0xA1C5	0x2228	# LOGICAL OR
0xA1C6	0x2211	# N-ARY SUMMATION
0xA1C7	0x220F	# N-ARY PRODUCT
0xA1C8	0x222A	# UNION
0xA1C9	0x2229	# INTERSECTION
0xA1CA	0x2208	# ELEMENT OF
0xA1CB	0x2237	# PROPORTION
0xA1CC	0x221A	# SQUARE ROOT
0xA1CD	0x22A5	# UP TACK
0xA1CE	0x2225	# PARALLEL TO
0xA1CF	0x2220	# ANGLE
0xA1D0	0x2312	# ARC
0xA1D1	0x2299	# CIRCLED DOT OPERATOR
0xA1D2	0x222B	# INTEGRAL
0xA1D3	0x222E	# CONTOUR INTEGRAL
0xA1D4	0x2261	# IDENTICAL TO
0xA1D5	0x224C	# ALL EQUAL TO
0xA1D6	0x2248	# ALMOST EQUAL TO
0xA1D7	0x223D	# REVERSED TILDE
0xA1D8	0x221D	# PROPORTIONAL TO
0xA1D9	0x2260	# NOT EQUAL TO
0xA1DA	0x226E	# NOT LESS-THAN
0xA1DB	0x226F	# NOT GREATER-THAN
0xA1DC	0x2264	# LESS-THAN OR EQUAL TO
0xA1DD	0x2265	# GREATER-THAN OR EQUAL TO
0xA1DE	0x221E	# INFINITY
0xA1DF	0x2235	# BECAUSE
0xA1E0	0x2234	# THEREFORE
0xA1E1	0x2642	# MALE SIGN
0xA1E2	0x2640	# FEMALE SIGN
0xA1E3	0x00B0	# DEGREE SIGN
0xA1E4	0x2032	# PRIME
0xA1E5	0x2033	# DOUBLE PRIME
0xA1E6	0x2103	# DEGREE CELSIUS
0xA1E7	0xFF04	# FULLWIDTH DOLLAR SIGN
0xA1E8	0x00A4	# CURRENCY SIGN
0xA1E9	0xFFE0	# FULLWIDTH CENT SIGN
0xA1EA	0xFFE1	# FULLWIDTH POUND SIGN
0xA1EB	0x2030	# PER MILLE SIGN
0xA1EC	0x00A7	# SECTION SIGN
0xA1ED	0x2116	# NUMERO SIGN
0xA1EE	0x2606	# WHITE STAR
0xA1EF	0x2605	# BLACK STAR
0xA1F0	0x25CB	# WHITE CIRCLE
0xA1F1	0x25CF	# BLACK CIRCLE
0xA1F2	0x25CE	# BULLSEYE
0xA1F3	0x25C7	# WHITE DIAMOND
0xA1F4	0x25C6	# BLACK DIAMOND
0xA1F5	0x25A1	# WHITE SQUARE
0xA1F6	0x25A0	# BLACK SQUARE
0xA1F7	0x25B3	# WHITE UP-POINTING TRIANGLE
0xA1F8	0x25B2	# BLACK UP-POINTING TRIANGLE
0xA1F9	0x203B	# REFERENCE MARK
0xA1FA	0x2192	# RIGHTWARDS ARROW
0xA1FB	0x2190	# LEFTWARDS ARROW
0xA1FC	0x2191	# UPWARDS ARROW
0xA1FD	0x2193	# DOWNWARDS ARROW
0xA1FE	0x3013	# GETA MARK
0xA2B1	0x2488	# DIGIT ONE FULL STOP
0xA2B2	0x2489	# DIGIT TWO FULL STOP
0xA2B3	0x248A	# DIGIT THREE FULL STOP
0xA2B4	0x248B	# DIGIT FOUR FULL STOP
0xA2B5	0x248C	# DIGIT FIVE FULL STOP
0xA2B6	0x248D	# DIGIT SIX FULL STOP
0xA2B7	0x248E	# DIGIT SEVEN FULL STOP
0xA2B8	0x248F	# DIGIT EIGHT FULL STOP
0xA2B9	0x2490	# DIGIT NINE FULL STOP
0xA2BA	0x2491	# NUMBER TEN FULL STOP
0xA2BB	0x2492	# NUMBER ELEVEN FULL STOP
0xA2BC	0x2493	# NUMBER TWELVE FULL STOP
0xA2BD	0x2494	# NUMBER THIRTEEN FULL STOP
0xA2BE	0x2495	# NUMBER FOURTEEN FULL STOP
0xA2BF	0x2496	# NUMBER FIFTEEN FULL STOP
0xA2C0	0x2497	# NUMBER SIXTEEN FULL STOP
0xA2C1	0x2498	# NUMBER SEVENTEEN FULL STOP
0xA2C2	0x2499	# NUMBER EIGHTEEN FULL STOP
0xA2C3	0x249A	# NUMBER NINETEEN FULL STOP
0xA2C4	0x249B	# NUMBER TWENTY FULL STOP
0xA2C5	0x2474	# PARENTHESIZED DIGIT ONE
0xA2C6	0x2475	# PARENTHESIZED DIGIT TWO
0xA2C7	0x2476	# PARENTHESIZED DIGIT THREE
0xA2C8	0x2477	# PARENTHESIZED DIGIT FOUR
0xA2C9	0x2478	# PARENTHESIZED DIGIT FIVE
0xA2CA	0x2479	# PARENTHESIZED DIGIT SIX
0xA2CB	0x247A	# PARENTHESIZED DIGIT SEVEN
0xA2CC	0x247B	# PARENTHESIZED DIGIT EIGHT
0xA2CD	0x247C	# PARENTHESIZED DIGIT NINE
0xA2CE	0x247D	# PARENTHESIZED NUMBER TEN
0xA2CF	0x247E	# PARENTHESIZED NUMBER ELEVEN
0xA2D0	0x247F	# PARENTHESIZED NUMBER TWELVE
0xA2D1	0x2480	# PARENTHESIZED NUMBER THIRTEEN
0xA2D2	0x2481	# PARENTHESIZED NUMBER FOURTEEN
0xA2D3	0x2482	# PARENTHESIZED NUMBER FIFTEEN
0xA2D4	0x2483	# PARENTHESIZED NUMBER SIXTEEN
0xA2D5	0x2484	# PARENTHESIZED NUMBER SEVENTEEN
0xA2D6	0x2485	# PARENTHESIZED NUMBER EIGHTEEN
0xA2D7	0x2486	# PARENTHESIZED NUMBER NINETEEN
0xA2D8	0x2487	# PARENTHESIZED NUMBER TWENTY
0xA2D9	0x2460	# CIRCLED DIGIT ONE
0xA2DA	0x2461	# CIRCLED DIGIT TWO
0xA2DB	0x2462	# CIRCLED DIGIT THREE
0xA2DC	0x2463	# CIRCLED DIGIT FOUR
0xA2DD	0x2464	# CIRCLED DIGIT FIVE
0xA2DE	0x2465	# CIRCLED DIGIT SIX
0xA2DF	0x2466	# CIRCLED DIGIT SEVEN
0xA2E0	0x2467	# CIRCLED DIGIT EIGHT
0xA2E1	0x2468	# CIRCLED DIGIT NINE
0xA2E2	0x2469	# CIRCLED NUMBER TEN
0xA2E5	0x3220	# PARENTHESIZED IDEOGRAPH ONE
0xA2E6	0x3221	# PARENTHESIZED IDEOGRAPH TWO
0xA2E7	0x3222	# PARENTHESIZED IDEOGRAPH THREE
0xA2E8	0x3223	# PARENTHESIZED IDEOGRAPH FOUR
0xA2E9	0x3224	# PARENTHESIZED IDEOGRAPH FIVE
0xA2EA	0x3225	# PARENTHESIZED IDEOGRAPH SIX
0xA2EB	0x3226	# PARENTHESIZED IDEOGRAPH SEVEN
0xA2EC	0x3227	# PARENTHESIZED IDEOGRAPH EIGHT
0xA2ED	0x3228	# PARENTHESIZED IDEOGRAPH NINE
0xA2EE	0x3229	# PARENTHESIZED IDEOGRAPH TEN
0xA2F1	0x2160	# ROMAN NUMERAL ONE
0xA2F2	0x2161	# ROMAN NUMERAL TWO
0xA2F3	0x2162	# ROMAN NUMERAL THREE
0xA2F4	0x2163	# ROMAN NUMERAL FOUR
0xA2F5	0x2164	# ROMAN NUMERAL FIVE
0xA2F6	0x2165	# ROMAN NUMERAL SIX
0xA2F7	0x2166	# ROMAN NUMERAL SEVEN
0xA2F8	0x2167	# ROMAN NUMERAL EIGHT
0xA2F9	0x2168	# ROMAN NUMERAL NINE
0xA2FA	0x2169	# ROMAN NUMERAL TEN
0xA2FB	0x216A	# ROMAN NUMERAL ELEVEN
0xA2FC	0x216B	# ROMAN NUMERAL TWELVE
0xA3A1	0xFF01	# FULLWIDTH EXCLAMATION MARK
0xA3A2	0xFF02	# FULLWIDTH QUOTATION MARK
0xA3A3	0xFF03	# FULLWIDTH NUMBER SIGN
0xA3A4	0xFFE5	# FULLWIDTH YEN SIGN
0xA3A5	0xFF05	# FULLWIDTH PERCENT SIGN
0xA3A6	0xFF06	# FULLWIDTH AMPERSAND
0xA3A7	0xFF07	# FULLWIDTH APOSTROPHE
0xA3A8	0xFF08	# FULLWIDTH LEFT PARENTHESIS
0xA3A9	0xFF09	# FULLWIDTH RIGHT PARENTHESIS
0xA3AA	0xFF0A	# FULLWIDTH ASTERISK
0xA3AB	0xFF0B	# FULLWIDTH PLUS SIGN
0xA3AC	0xFF0C	# FULLWIDTH COMMA
0xA3AD	0xFF0D	# FULLWIDTH HYPHEN-MINUS
0xA3AE	0xFF0E	# FULLWIDTH FULL STOP
0xA3AF	0xFF0F	# FULLWIDTH SOLIDUS
0xA3B0	0xFF10	# FULLWIDTH DIGIT ZERO
0xA3B1	0xFF11	# FULLWIDTH DIGIT ONE
0xA3B2	0xFF12	# FULLWIDTH DIGIT TWO
0xA3B3	0xFF13	# FULLWIDTH DIGIT THREE
0xA3B4	0xFF14	# FULLWIDTH DIGIT FOUR
0xA3B5	0xFF15	# FULLWIDTH DIGIT FIVE
0xA3B6	0xFF16	# FULLWIDTH DIGIT SIX
0xA3B7	0xFF17	# FULLWIDTH DIGIT SEVEN
0xA3B8	0xFF18	# FULLWIDTH DIGIT EIGHT
0xA3B9	0xFF19	# FULLWIDTH DIGIT NINE
0xA3BA	0xFF1A	# FULLWIDTH COLON
0xA3BB	0xFF1B	# FULLWIDTH SEMICOLON
0xA3BC	0xFF1C	# FULLWIDTH LESS-THAN SIGN
0xA3BD	0xFF1D	# FULLWIDTH EQUALS SIGN
0xA3BE	0xFF1E	# FULLWIDTH GREATER-THAN SIGN
0xA3BF	0xFF1F	# FULLWIDTH QUESTION MARK
0xA3C0	0xFF20	# FULLWIDTH COMMERCIAL AT
0xA3C1	0xFF21	# FULLWIDTH LATIN CAPITAL LETTER A
0xA3C2	0xFF22	# FULLWIDTH LATIN CAPITAL LETTER B
0xA3C3	0xFF23	# FULLWIDTH LATIN CAPITAL LETTER C
0xA3C4	0xFF24	# FULLWIDTH LATIN CAPITAL LETTER D
0xA3C5	0xFF25	# FULLWIDTH LATIN CAPITAL LETTER E
0xA3C6	0xFF26	# FULLWIDTH LATIN CAPITAL LETTER F
0xA3C7	0xFF27	# FULLWIDTH LATIN CAPITAL LETTER G
0xA3C8	0xFF28	# FULLWIDTH LATIN CAPITAL LETTER H
0xA3C9	0xFF29	# FULLWIDTH LATIN CAPITAL LETTER I
0xA3CA	0xFF2A	# FULLWIDTH LATIN CAPITAL LETTER J
0xA3CB	0xFF2B	# FULLWIDTH LATIN CAPITAL LETTER K
0xA3CC	0xFF2C	# FULLWIDTH LATIN CAPITAL LETTER L
0xA3CD	0xFF2D	# FULLWIDTH LATIN CAPITAL LETTER M
0xA3CE	0xFF2E	# FULLWIDTH LATIN CAPITAL LETTER N
0xA3CF	0xFF2F	# FULLWIDTH LATIN CAPITAL LETTER O
0xA3D0	0xFF30	# FULLWIDTH LATIN CAPITAL LETTER P
0xA3D1	0xFF31	# FULLWIDTH LATIN CAPITAL LETTER Q
0xA3D2	0xFF32	# FULLWIDTH LATIN CAPITAL LETTER R
0xA3D3	0xFF33	# FULLWIDTH LATIN CAPITAL LETTER S
0xA3D4	0xFF34	# FULLWIDTH LATIN CAPITAL LETTER T
0xA3D5	0xFF35	# FULLWIDTH LATIN CAPITAL LETTER U
0xA3D6	0xFF36	# FULLWIDTH LATIN CAPITAL LETTER V
0xA3D7	0xFF37	# FULLWIDTH LATIN CAPITAL LETTER W
0xA3D8	0xFF38	# FULLWIDTH LATIN CAPITAL LETTER X
0xA3D9	0xFF39	# FULLWIDTH LATIN CAPITAL LETTER Y
0xA3DA	0xFF3A	# FULLWIDTH LATIN CAPITAL LETTER Z
0xA3DB	0xFF3B	# FULLWIDTH LEFT SQUARE BRACKET
0xA3DC	0xFF3C	# FULLWIDTH REVERSE SOLIDUS
0xA3DD	0xFF3D	# FULLWIDTH RIGHT SQUARE BRACKET
0xA3DE	0xFF3E	# FULLWIDTH CIRCUMFLEX ACCENT
0xA3DF	0xFF3F	# FULLWIDTH LOW LINE
0xA3E0	0xFF40	# FULLWIDTH GRAVE ACCENT
0xA3E1	0xFF41	# FULLWIDTH LATIN SMALL LETTER A
0xA3E2	0xFF42	# FULLWIDTH LATIN SMALL LETTER B
0xA3E3	0xFF43	# FULLWIDTH LATIN SMALL LETTER C
0xA3E4	0xFF44	# FULLWIDTH LATIN SMALL LETTER D
0xA3E5	0xFF45	# FULLWIDTH LATIN SMALL LETTER E
0xA3E6	0xFF46	# FULLWIDTH LATIN SMALL LETTER F
0xA3E7	0xFF47	# FULLWIDTH LATIN SMALL LETTER G
0xA3E8	0xFF48	# FULLWIDTH LATIN SMALL LETTER H
0xA3E9	0xFF49	# FULLWIDTH LATIN SMALL LETTER I
0xA3EA	0xFF4A	# FULLWIDTH LATIN SMALL LETTER J
0xA3EB	0xFF4B	# FULLWIDTH LATIN SMALL LETTER K
0xA3EC	0xFF4C	# FULLWIDTH LATIN SMALL LETTER L
0xA3ED	0xFF4D	# FULLWIDTH LATIN SMALL LETTER M
0xA3EE	0xFF4E	# FULLWIDTH LATIN SMALL LETTER N
0xA3EF	0xFF4F	# FULLWIDTH LATIN SMALL LETTER O
0xA3F0	0xFF50	# FULLWIDTH LATIN SMALL LETTER P
0xA3F1	0xFF51	# FULLWIDTH LATIN SMALL LETTER Q
0xA3F2	0xFF52	# FULLWIDTH LATIN SMALL LETTER R
0xA3F3	0xFF53	# FULLWIDTH LATIN SMALL LETTER S
0xA3F4	0xFF54	# FULLWIDTH LATIN SMALL LETTER T
0xA3F5	0xFF55	# FULLWIDTH LATIN SMALL LETTER U
0xA3F6	0xFF56	# FULLWIDTH LATIN SMALL LETTER V
0xA3F7	0xFF57	# FULLWIDTH LATIN SMALL LETTER W
0xA3F8	0xFF58	# FULLWIDTH LATIN SMALL LETTER X
0xA3F9	0xFF59	# FULLWIDTH LATIN SMALL LETTER Y
0xA3FA	0xFF5A	# FULLWIDTH LATIN SMALL LETTER Z
0xA3FB	0xFF5B	# FULLWIDTH LEFT CURLY BRACKET
0xA3FC	0xFF5C	# FULLWIDTH VERTICAL LINE
0xA3FD	0xFF5D	# FULLWIDTH RIGHT CURLY BRACKET
0xA3FE	0xFFE3	# FULLWIDTH MACRON
0xA4A1	0x3041	# HIRAGANA LETTER SMALL A
0xA4A2	0x3042	# HIRAGANA LETTER A
0xA4A3	0x3043	# HIRAGANA LETTER SMALL I
0xA4A4	0x3044	# HIRAGANA LETTER I
0xA4A5	0x3045	# HIRAGANA LETTER SMALL U
0xA4A6	0x3046	# HIRAGANA LETTER U
0xA4A7	0x3047	# HIRAGANA LETTER SMALL E
0xA4A8	0x3048	# HIRAGANA LETTER E
0xA4A9	0x3049	# HIRAGANA LETTER SMALL O
0xA4AA	0x304A	# HIRAGANA LETTER O
0xA4AB	0x304B	# HIRAGANA LETTER KA
0xA4AC	0x304C	# HIRAGANA LETTER GA
0xA4AD	0x304D	# HIRAGANA LETTER KI
0xA4AE	0x304E	# HIRAGANA LETTER GI
0xA4AF	0x304F	# HIRAGANA LETTER KU
0xA4B0	0x3050	# HIRAGANA LETTER GU
0xA4B1	0x3051	# HIRAGANA LETTER KE
0xA4B2	0x3052	# HIRAGANA LETTER GE
0xA4B3	0x3053	# HIRAGANA LETTER KO
0xA4B4	0x3054	# HIRAGANA LETTER GO
0xA4B5	0x3055	# HIRAGANA LETTER SA
0xA4B6	0x3056	# HIRAGANA LETTER ZA
0xA4B7	0x3057	# HIRAGANA LETTER SI
0xA4B8	0x3058	# HIRAGANA LETTER ZI
0xA4B9	0x3059	# HIRAGANA LETTER SU
0xA4BA	0x305A	# HIRAGANA LETTER ZU
0xA4BB	0x305B	# HIRAGANA LETTER SE
0xA4BC	0x305C	# HIRAGANA LETTER ZE
0xA4BD	0x305D	# HIRAGANA LETTER SO
0xA4BE	0x305E	# HIRAGANA LETTER ZO
0xA4BF	0x305F	# HIRAGANA LETTER TA
0xA4C0	0x3060	# HIRAGANA LETTER DA
0xA4C1	0x3061	# HIRAGANA LETTER TI
0xA4C2	0x3062	# HIRAGANA LETTER DI
0xA4C3	0x3063	# HIRAGANA LETTER SMALL TU
0xA4C4	0x3064	# HIRAGANA LETTER TU
0xA4C5	0x3065	# HIRAGANA LETTER DU
0xA4C6	0x3066	# HIRAGANA LETTER TE
0xA4C7	0x3067	# HIRAGANA LETTER DE
0xA4C8	0x3068	# HIRAGANA LETTER TO
0xA4C9	0x3069	# HIRAGANA LETTER DO
0xA4CA	0x306A	# HIRAGANA LETTER NA
0xA4CB	0x306B	# HIRAGANA LETTER NI
0xA4CC	0x306C	# HIRAGANA LETTER NU
0xA4CD	0x306D	# HIRAGANA LETTER NE
0xA4CE	0x306E	# HIRAGANA LETTER NO
0xA4CF	0x306F	# HIRAGANA LETTER HA
0xA4D0	0x3070	# HIRAGANA LETTER BA
0xA4D1	0x3071	# HIRAGANA LETTER PA
0xA4D2	0x3072	# HIRAGANA LETTER HI
0xA4D3	0x3073	# HIRAGANA LETTER BI
0xA4D4	0x3074	# HIRAGANA LETTER PI
0xA4D5	0x3075	# HIRAGANA LETTER HU
0xA4D6	0x3076	# HIRAGANA LETTER BU
0xA4D7	0x3077	# HIRAGANA LETTER PU
0xA4D8	0x3078	# HIRAGANA LETTER HE
0xA4D9	0x3079	# HIRAGANA LETTER BE
0xA4DA	0x307A	# HIRAGANA LETTER PE
0xA4DB	0x307B	# HIRAGANA LETTER HO
0xA4DC	0x307C	# HIRAGANA LETTER BO
0xA4DD	0x307D	# HIRAGANA LETTER PO
0xA4DE	0x307E	# HIRAGANA LETTER MA
0xA4DF	0x307F	# HIRAGANA LETTER MI
0xA4E0	0x3080	# HIRAGANA LETTER MU
0xA4E1	0x3081	# HIRAGANA LETTER ME
0xA4E2	0x3082	# HIRAGANA LETTER MO
0xA4E3	0x3083	# HIRAGANA LETTER SMALL YA
0xA4E4	0x3084	# HIRAGANA LETTER YA
0xA4E5	0x3085	# HIRAGANA LETTER SMALL YU
0xA4E6	0x3086	# HIRAGANA LETTER YU
0xA4E7	0x3087	# HIRAGANA LETTER SMALL YO
0xA4E8	0x3088	# HIRAGANA LETTER YO
0xA4E9	0x3089	# HIRAGANA LETTER RA
0xA4EA	0x308A	# HIRAGANA LETTER RI
0xA4EB	0x308B	# HIRAGANA LETTER RU
0xA4EC	0x308C	# HIRAGANA LETTER RE
0xA4ED	0x308D	# HIRAGANA LETTER RO
0xA4EE	0x308E	# HIRAGANA LETTER SMALL WA
0xA4EF	0x308F	# HIRAGANA LETTER WA
0xA4F0	0x3090	# HIRAGANA LETTER WI
0xA4F1	0x3091	# HIRAGANA LETTER WE
0xA4F2	0x3092	# HIRAGANA LETTER WO
0xA4F3	0x3093	# HIRAGANA LETTER N
0xA5A1	0x30A1	# KATAKANA LETTER SMALL A
0xA5A2	0x30A2	# KATAKANA LETTER A
0xA5A3	0x30A3	# KATAKANA LETTER SMALL I
0xA5A4	0x30A4	# KATAKANA LETTER I
0xA5A5	0x30A5	# KATAKANA LETTER SMALL U
0xA5A6	0x30A6	# KATAKANA LETTER U
0xA5A7	0x30A7	# KATAKANA LETTER SMALL E
0xA5A8	0x30A8	# KATAKANA LETTER E
0xA5A9	0x30A9	# KATAKANA LETTER SMALL O
0xA5AA	0x30AA	# KATAKANA LETTER O
0xA5AB	0x30AB	# KATAKANA LETTER KA
0xA5AC	0x30AC	# KATAKANA LETTER GA
0xA5AD	0x30AD	# KATAKANA LETTER KI
0xA5AE	0x30AE	# KATAKANA LETTER GI
0xA5AF	0x30AF	# KATAKANA LETTER KU
0xA5B0	0x30B0	# KATAKANA LETTER GU
0xA5B1	0x30B1	# KATAKANA LETTER KE
0xA5B2	0x30B2	# KATAKANA LETTER GE
0xA5B3	0x30B3	# KATAKANA LETTER KO
0xA5B4	0x30B4	# KATAKANA LETTER GO
0xA5B5	0x30B5	# KATAKANA LETTER SA
0xA5B6	0x30B6	# KATAKANA LETTER ZA
0xA5B7	0x30B7	# KATAKANA LETTER SI
0xA5B8	0x30B8	# KATAKANA LETTER ZI
0xA5B9	0x30B9	# KATAKANA LETTER SU
0xA5BA	0x30BA	# KATAKANA LETTER ZU
0xA5BB	0x30BB	# KATAKANA LETTER SE
0xA5BC	0x30BC	# KATAKANA LETTER ZE
0xA5BD	0x30BD	# KATAKANA LETTER SO
0xA5BE	0x30BE	# KATAKANA LETTER ZO
0xA5BF	0x30BF	# KATAKANA LETTER TA
0xA5C0	0x30C0	# KATAKANA LETTER DA
0xA5C1	0x30C1	# KATAKANA LETTER TI
0xA5C2	0x30C2	# KATAKANA LETTER DI
0xA5C3	0x30C3	# KATAKANA LETTER SMALL TU
0xA5C4	0x30C4	# KATAKANA LETTER TU
0xA5C5	0x30C5	# KATAKANA LETTER DU
0xA5C6	0x30C6	# KATAKANA LETTER TE
0xA5C7	0x30C7	# KATAKANA LETTER DE
0xA5C8	0x30C8	# KATAKANA LETTER TO
0xA5C9	0x30C9	# KATAKANA LETTER DO
0xA5CA	0x30CA	# KATAKANA LETTER NA
0xA5CB	0x30CB	# KATAKANA LETTER NI
0xA5CC	0x30CC	# KATAKANA LETTER NU
0xA5CD	0x30CD	# KATAKANA LETTER NE
0xA5CE	0x30CE	# KATAKANA LETTER NO
0xA5CF	0x30CF	# KATAKANA LETTER HA
0xA5D0	0x30D0	# KATAKANA LETTER BA
0xA5D1	0x30D1	# KATAKANA LETTER PA
0xA5D2	0x30D2	# KATAKANA LETTER HI
0xA5D3	0x30D3	# KATAKANA LETTER BI
0xA5D4	0x30D4	# KATAKANA LETTER PI
0xA5D5	0x30D5	# KATAKANA LETTER HU
0xA5D6	0x30D6	# KATAKANA LETTER BU
0xA5D7	0x30D7	# KATAKANA LETTER PU
0xA5D8	0x30D8	# KATAKANA LETTER HE
0xA5D9	0x30D9	# KATAKANA LETTER BE
0xA5DA	0x30DA	# KATAKANA LETTER PE
0xA5DB	0x30DB	# KATAKANA LETTER HO
0xA5DC	0x30DC	# KATAKANA LETTER BO
0xA5DD	0x30DD	# KATAKANA LETTER PO
0xA5DE	0x30DE	# KATAKANA LETTER MA
0xA5DF	0x30DF	# KATAKANA LETTER MI
0xA5E0	0x30E0	# KATAKANA LETTER MU
0xA5E1	0x30E1	# KATAKANA LETTER ME
0xA5E2	0x30E2	# KATAKANA LETTER MO
0xA5E3	0x30E3	# KATAKANA LETTER SMALL YA
0xA5E4	0x30E4	# KATAKANA LETTER YA
0xA5E5	0x30E5	# KATAKANA LETTER SMALL YU
0xA5E6	0x30E6	# KATAKANA LETTER YU
0xA5E7	0x30E7	# KATAKANA LETTER SMALL YO
0xA5E8	0x30E8	# KATAKANA LETTER YO
0xA5E9	0x30E9	# KATAKANA LETTER RA
0xA5EA	0x30EA	# KATAKANA LETTER RI
0xA5EB	0x30EB	# KATAKANA LETTER RU
0xA5EC	0x30EC	# KATAKANA LETTER RE
0xA5ED	0x30ED	# KATAKANA LETTER RO
0xA5EE	0x30EE	# KATAKANA LETTER SMALL WA
0xA5EF	0x30EF	# KATAKANA LETTER WA
0xA5F0	0x30F0	# KATAKANA LETTER WI
0xA5F1	0x30F1	# KATAKANA LETTER WE
0xA5F2	0x30F2	# KATAKANA LETTER WO
0xA5F3	0x30F3	# KATAKANA LETTER N
0xA5F4	0x30F4	# KATAKANA LETTER VU
0xA5F5	0x30F5	# KATAKANA LETTER SMALL KA
0xA5F6	0x30F6	# KATAKANA LETTER SMALL KE
0xA6A1	0x0391	# GREEK CAPITAL LETTER ALPHA
0xA6A2	0x0392	# GREEK CAPITAL LETTER BETA
0xA6A3	0x0393	# GREEK CAPITAL LETTER GAMMA
0xA6A4	0x0394	# GREEK CAPITAL LETTER DELTA
0xA6A5	0x0395	# GREEK CAPITAL LETTER EPSILON
0xA6A6	0x0396	# GREEK CAPITAL LETTER ZETA
0xA6A7	0x0397	# GREEK CAPITAL LETTER ETA
0xA6A8	0x0398	# GREEK CAPITAL LETTER THETA
0xA6A9	0x0399	# GREEK CAPITAL LETTER IOTA
0xA6AA	0x039A	# GREEK CAPITAL LETTER KAPPA
0xA6AB	0x039B	# GREEK CAPITAL LETTER LAMDA
0xA6AC	0x039C	# GREEK CAPITAL LETTER MU
0xA6AD	0x039D	# GREEK CAPITAL LETTER NU
0xA6AE	0x039E	# GREEK CAPITAL LETTER XI
0xA6AF	0x039F	# GREEK CAPITAL LETTER OMICRON
0xA6B0	0x03A0	# GREEK CAPITAL LETTER PI
0xA6B1	0x03A1	# GREEK CAPITAL LETTER RHO
0xA6B2	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xA6B3	0x03A4	# GREEK CAPITAL LETTER TAU
0xA6B4	0x03A5	# GREEK CAPITAL LETTER UPSILON
0xA6B5	0x03A6	# GREEK CAPITAL LETTER PHI
0xA6B6	0x03A7	# GREEK CAPITAL LETTER CHI
0xA6B7	0x03A8	# GREEK CAPITAL LETTER PSI
0xA6B8	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xA6C1	0x03B1	# GREEK SMALL LETTER ALPHA
0xA6C2	0x03B2	# GREEK SMALL LETTER BETA
0xA6C3	0x03B3	# GREEK SMALL LETTER GAMMA
0xA6C4	0x03B4	# GREEK SMALL LETTER DELTA
0xA6C5	0x03B5	# GREEK SMALL LETTER EPSILON
0xA6C6	0x03B6	# GREEK SMALL LETTER ZETA
0xA6C7	0x03B7	# GREEK SMALL LETTER ETA
0xA6C8	0x03B8	# GREEK SMALL LETTER THETA
